Термин,Определение
Hierarchical Clustering,A method that organizes vectors into a tree-like structure for more efficient search and retrieval.
Vector Quantization (VQ),A compression technique that approximates vectors with a limited set of representative vectors to save memory and speed up searches.
Hashing Function,"A function that maps vectors to fixed-length codes, often used in locality-sensitive hashing (LSH) for fast similarity searches."
Pretrained Embeddings,"Vector representations that are generated using a pre-trained model (e.g., OpenAI’s CLIP, GloVe, or FastText) and can be directly used in vector databases."
Feature Extraction,"The process of converting raw data (e.g., images, text) into a numerical vector representation that captures its key characteristics."
Multi-Index Quantization (MIQ),A technique that improves search efficiency by using multiple quantization indexes instead of a single one.
Vector Pruning,The process of reducing the size of a vector index by removing unnecessary or redundant vectors.
Adaptive Search,A search method that dynamically adjusts indexing or search parameters based on query complexity.
Hierarchical Indexing,"An indexing structure that arranges vectors in multiple layers, improving search efficiency by navigating through different levels."
Graph-Based Search,A search method that represents vectors as nodes in a graph and navigates through connections to find nearest neighbors.
Brute-Force Search,A naive search approach where every vector in the database is compared to the query vector; accurate but slow for large datasets.
Disk-Based Indexing,A technique that stores vector indexes on disk rather than in memory to handle large-scale datasets with limited RAM.
Distributed Indexing,A technique that spreads vector indexes across multiple servers to scale vector database operations efficiently.
Hierarchical Small-World Graphs (HNSW),A graph-based algorithm that efficiently finds approximate nearest neighbors by building a multi-layered small-world network.
GPU-Accelerated Search,"The use of GPUs to parallelize vector search operations, speeding up large-scale similarity searches."
Dot Product Similarity,A similarity measure where higher values indicate more similarity; often used in ranking systems.
Mahalanobis Distance,"A distance metric that accounts for correlations between vector features, improving search quality in high-dimensional spaces."
Jaccard Similarity,"A metric used for measuring the similarity between two sets, sometimes applied in sparse vector comparisons."
KL Divergence (Kullback-Leibler Divergence),"A measure of how different one probability distribution is from another, sometimes used in probabilistic embeddings."
Earth Mover’s Distance (EMD),"A metric that quantifies the cost of transforming one distribution into another, useful for comparing feature distributions."
Tanimoto Coefficient,A similarity measure used in cheminformatics and image retrieval that considers both common and unique elements between two vectors.
Angular Distance,"A similarity measure based on the angle between two vectors, often used in place of cosine similarity."
Binary Embeddings,"A type of vector embedding where elements are binary (0 or 1), useful for compact storage and fast retrieval."
Self-Supervised Learning (SSL),"A technique where models learn vector representations without labeled data, often used in vector embeddings."
Contrastive Learning,A self-supervised learning approach that learns to map similar data points closer in vector space while pushing dissimilar ones apart.
Meta-Learning in Vectors,The study of optimizing vector representations dynamically based on search patterns and query history.
Knowledge Graph-Augmented Search,A hybrid approach that combines vector similarity search with structured knowledge graphs for better retrieval.
Hybrid Vector + Metadata Search,A method that combines vector similarity with structured metadata filtering to refine search results.
Real-Time Vector Indexing,The ability to continuously update vector indexes in real time without reprocessing the entire database.
Multi-Vector Representations,"A technique that uses multiple embeddings per item (e.g., different embeddings for text and images) to enhance search accuracy."
Few-Shot Learning in Vector Databases,"The ability of a model to learn from very few examples, leveraging vector embeddings for similarity-based predictions."
Vector Fusion,The combination of multiple vector representations from different models to enhance search performance.
Differentiable Search Indexes,"A novel approach where search indexes are trainable, allowing them to adapt dynamically to query distributions."
Incremental Indexing,The ability to add new vectors to an index without needing a full re-indexing process.
Vector Data Governance,"Policies and practices for managing vector data, including storage, privacy, and compliance concerns."
Server (or Node),"A server is some (real or virtual) hardware where PostgreSQL is installed. In this document, the word instance is a different concept from server. See the definition of instance later in this document"
Cluster of Nodes,"A set of nodes, which interchange information via replication."
Installation,"After you have downloaded and installed PostgreSQL, you have a set of programs, scripts, configuration- and other files on a server. This set is called the 'Installation'. It includes all instance programs as well as some client programs like psql."
Server Database,The term server database is often used in the context of client/server connections to refer to an instance or a single database.
Cluster (or 'Database Cluster'),"A cluster is a storage area (directory, subdirectories and files) in the file system, where a collection of databases plus meta-information resides. Within the database cluster there are also the definitions of global objects like users and their rights. They are known across the entire database cluster. (Access rights for an user may be limited to individual objects like a certain table or a certain schema. In that case, the user will not have this access rights to the other objects of the cluster.)"
Instance (or 'Database Server Instance' or 'Database Server' or 'Backend'),"An instance is a group of processes (on a UNIX server) or one service (on a Windows server) plus shared memory, which controls and manages exactly one cluster. Using IP terminology one can say that one instance occupies one IP/port combination, eg. the combination http://localhost:5432. It is possible that on a different port of the same server another instance is running. The processes (in a UNIX server), which build an instance, are called: postmaster (creates one 'postgres'-process per client-connection), logger, checkpointer, background writer, WAL writer, autovacuum launcher, archiver, stats collector. The role of each process is explained in the chapter architecture."
,"A database is a storage area in the file system, where a collection of objects is stored in files. The objects consist of data, metadata (table definitions, data types, constraints, views, ...) and other data like indices. Those objects are stored in the default database 'postgres' or in a newly created database."
Database,"A database is a storage area in the file system, where a collection of objects is stored in files. The objects consist of data, metadata (table definitions, data types, constraints, views, ...) and other data like indices. Those objects are stored in the default database 'postgres' or in a newly created database. The storage area for one database is organized as one subdirectory tree within the storage area of the database cluster. Thus a database cluster may contain multiple databases."
Schema,".A schema is a namespace within a database: it contains named objects (tables, data types, functions, and operators) whose names can duplicate those of other objects existing in other schemas of this database. Every database contains the default schema 'public' and may contain more schemas. All objects of one schema must reside within the same database. Objects of different schemas within the same database may have the same name."
Search Path (or 'Schema Search Path'),"A Search Path is a list of schema names. If applications use unqualified object names (e.g.: 'employee_table' for a table name), the search path is used to locate this object in the given sequence of schemas. The schema 'pg_catalog' is always the first part of the search path although it is not explicitly listed in the search path. This behaviour ensures that PostgreSQL finds the system objects."
initdb (OS command),"Despite of its name the utility initdb creates a new cluster, which contains the 3 databases 'template0', 'template1' and 'postgres'."
createdb (OS command),The utility createdb creates a new database within the actual cluster.
CREATE DATABASE (SQL command),The SQL command CREATE DATABASE creates a new database within the actual cluster.
Directory Structure,"A cluster and its databases consists of files, which hold data, actual status information, modification information and a lot more. Those files are organized in a fixed way under one directory node."
Shared Buffers,"Shared bufferes are RAM pages, which mirror pages of data files on disc. They exist due to performance reasons. The term shared results from the fact that a lot of processes read and write to that area."
'Dirty' Page,"Pages in the shared buffers mirror pages of data files on disc. When clients request changes of data, those pages get changed without - provisionally - a change of the related pages on disc. Until the background writer writes those modified pages to disc, they are called 'dirty' pages."
Checkpoint,"A checkpoint is a special point in time where it is guaranteed that the database files are in a consistent state. At checkpoint time all change records are flushed to the WAL file, all dirty data pages (in shared buffers) are flushed to disc, and at last a special checkpoint record is written to the WAL file."
WAL File,"WAL files contain the changes which are applied to the data by modifying commands like INSERT, UPDATE, DELETE or CREATE TABLE ... . This is redundant information as it is also recorded in the data files (for better performance at a later time). According to the configuration of the instance, there may be more information within WAL files. WAL files reside in the pg_wal directory (which was named pg_xlog before version 10), have a binary format and a fixed size of 16MB. When they are no longer needed, they get recycled by renaming and reusing their already allocated space."
Logfile,The instance logs and reports warning and error messages about special situations in readable text files. These logfiles can reside at any place in the directory structure of the server and are not part of the cluster.
Log Record,A log record is a single information unit within a WAL file.
Segment,The term segment is sometimes used as a synonym for WAL file.
MVCC,"Multiversion Concurrency Control (MVCC) is a common database technique to accomplish two goals: First, it allows the management of parallel running transactions on a logical level and second, it ensures high performance for concurrent read and write actions. It is implemented as follows: Whenever some values of an existing row change, PostgreSQL writes a new version of this row to the database without deleting the old one. In such situations the database contains multiple versions of the row. In addition to their regular data the rows contain transaction IDs which allows to decide, which other transactions will see the new or the old row. Hence other transactions sees only those values (of other transactions), which are committed."
Backup and Recovery,"The term cold as an addition to the backup method name indicates that with this method the instance must be stopped to create a useful backup. In contrast, the addition 'hot' denotes methods where the instance MUST run (and hence changes to the data may occur during backup actions)."
(Cold) Backup (file system tools),"A cold backup is a consistent copy of all files of the cluster with OS tools like cp or tar. During the creation of a cold backup the instance must not run - otherwise the backup is useless. Hence you need a period of time in which applications do not use any database of the cluster - a continuous 7×24 operation mode is not possible. And secondly: the cold backup works only on the cluster level, not on any finer granularity like database or table."
(Hot) Logical Backup (pg_dump utility),"A logical backup is a consistent copy of the data within a database or some of its parts. It is created with the utility pg_dump. Although pg_dump may run in parallel to applications (the instance must be up), it creates a consistent snapshot as of the time of its start."
(Hot) Continuous Archiving,"Such backups consist of two parts. The first one is the so-called base backup, which is a copy of all files of a cluster. The second one consists of all data-changes since the start of the backup command. They are stored in WAL files."
PITR: Point in Time Recovery,"When you use the technique of 'Continuous Archiving' (Base Backup) and archive all occurring WAL files, you can restore the database as it was at an arbitrary time. To do so, you must restore the base backup and replay the WAL files against it up to a defined timestamp."
Archiving,"Archiving is the process of copying WAL files to a failsafe location. When you plan to use PITR you must ensure that the sequence of WAL files is saved for a longer period. To support the process of copying WAL files at the right moment (when they are completely filled and a switch to the next WAL file has taken place), PostgreSQL runs the archiving process which is part of the instance. This process copies WAL files to a configurable destination."
Recovering,Recovering is the process of playing WAL files against a physical backup. One of the involved steps is the copy of the WAL files from the failsafe archive location to its original location in '/pg_xlog'. The aim of recovery is to bring the cluster into a consistent state at a defined timestamp.
Archive Recovery Mode,"When recovering takes place, the instance is in archive recovery mode."
Restartpoint,A restart point is an action similar to a checkpoint. Restart points are only performed when the instance is in archive recovery mode or in standby mode.
Timeline,"After a successful recovery PostgreSQL transfers the cluster into a new timeline to avoid problems, which may occur when PITR is reset and WAL files reapplied (e.g.: to a different timestamp). Timeline names are sequential numbers: 1, 2, 3, ..."
Replication,"Replication is a technique to send data, which was written within a master server, to one or more standby servers or even another master server."
Master Server,The master server is an instance on a server which sends data to other instances in addition to its local processing of data.
Standby Server,The standby server is an instance on a server which receives information from a master server about changes of its data.
Warm Standby Server,"A warm standby server is a running instance, which is in standby_mode (recovery.conf file). It continuously reads and processes incoming WAL files (in the case of log-shipping) or log records (in the case of streaming replication). It does not accept client connections."
Hot Standby Server,A hot standby server is a warm standby server with the additional flag hot_standby in postgres.conf. It accepts client connections and read-only queries.
Synchronous Replication,"Replication is called synchronous, when the standby server processes the received data immediately, sends a confirmation record to the master server and the master server delays its COMMIT action until he has received the confirmation of the standby server."
Asynchronous Replication,"Replication is called asynchronous, when the master server sends data to the standby server and does not expect any feedback about this action"
Streaming Replication,The term is used when log entries are transfered from master server to standby server over a TCP connection - in addition to their transfer to the local WAL file. Streaming replication is asynchronous by default but can also be synchronous
Log-Shipping Replication,Log shipping is the process of transfering WAL files from a master server to a standby server. Log shipping is an asynchronous operation.
Views,A view is a virtual table based on the results of a SQL statement. This virtual table can be manipulated and queried exactly like a single database table.
Trigger,"Triggers execute code in response to transactional or other changes to a table or view: when a new item is entered to an inventory table, a similar item could be entered automatically to each of the prices, reviews, and orders tables."
Primary Key,"Constraints placed on a column in a database that ensure that the field uniquely identifies each separate record (row). Its function is to enforce data integrity. When the primary key is used in queries, it provides faster access to data."
Partitioning,"Partitioning makes large tables more manageable. This way, you can access or manage only subsets of data, but still maintain the integrity of the table."
Normalization,"To reduce data reduncancy and improve integrity, databases can be structured according to a set of 'normal forms'. Normalization means that the columns and tables are organized in such a way that their dependencies are enforced by the database's integrity constraints."
Join,"A JOIN clause combines columns from one or more tables into a new table. In ANSI-standard SQL, the five types of join are INNER, LEFT OUTER, RIGHT OUTER, FULL OUTER AND CROSS."
Transaction,"A transaction is unit of work applied to a database, containing a sequence of operations."
Table,"All the data in a database is contained in tables. They are database objects that organize data in rows and columns, rather like a spreadsheet. Each individual record is represented by a row, and the fields it contains are arranged into columns(*)."
MySQL,"Система управления базами данных (СУБД), использующая язык SQL для работы с данными."
Реляционная база данных,"База данных, в которой данные организованы в таблицы, связанные между собой."
Таблица,"Структура данных в базе данных, состоящая из строк и столбцов."
Строка,"Запись в таблице, состоящая из набора значений для каждого столбца."
Столбец,"Поле таблицы, определяющее тип данных, которые будут храниться в каждой строке."
PK (Primary Key),Первичный ключ — уникальный идентификатор для каждой строки в таблице
FK (Foreign Key),"Внешний ключ — поле, которое ссылается на первичный ключ другой таблицы."
Индекс,"Структура данных, ускоряющая поиск строк в таблице по определённым полям."
Запрос,"Операция в SQL для извлечения, изменения, вставки или удаления данных."
SELECT,SQL-команда для извлечения данных из таблицы.
INSERT,SQL-команда для вставки новых данных в таблицу.
UPDATE,SQL-команда для обновления существующих данных в таблице.
DELETE,SQL-команда для удаления данных из таблицы.
WHERE,Ключевое слово в SQL для фильтрации данных в запросах.
JOIN,Операция объединения данных из нескольких таблиц на основе общих полей.
INNER JOIN,"Объединение таблиц, при котором выводятся только те строки, которые совпадают по значению в обеих таблицах."
LEFT JOIN,"Объединение таблиц, при котором выводятся все строки из левой таблицы и соответствующие строки из правой."
RIGHT JOIN,"Объединение таблиц, при котором выводятся все строки из правой таблицы и соответствующие строки из левой."
FULL OUTER JOIN,"Объединение таблиц, при котором выводятся все строки из обеих таблиц, даже если нет совпадений."
GROUP BY,Операция группировки строк в таблице по указанным столбцам.
HAVING,Ключевое слово для фильтрации данных после группировки
ORDER BY,Операция сортировки данных в запросе.
LIMIT,Ограничение количества возвращаемых строк в запросе.
DISTINCT,Операция удаления повторяющихся строк в результатах запроса.
NULL,"Специальное значение, которое обозначает отсутствие данных в поле."
AUTO_INCREMENT,"Атрибут, который автоматически увеличивает значение поля при добавлении новой строки"
DATETIME,Тип данных для хранения даты и времени.
VARCHAR,Тип данных для хранения строк переменной длины.
TEXT,Тип данных для хранения длинных текстовых строк
BOOLEAN,"Тип данных, который может принимать два значения: TRUE или FALSE."
COUNT(),Агрегатная функция для подсчёта количества строк в наборе данных.
SUM(),Агрегатная функция для вычисления суммы значений в столбце.
AVG(),Агрегатная функция для вычисления среднего значения в столбце.
MIN(),Агрегатная функция для нахождения минимального значения в столбце.
MAX(),Агрегатная функция для нахождения максимального значения в столбце.
CREATE DATABASE,Команда для создания новой базы данных.
DROP DATABASE,Команда для удаления базы данных.
CREATE TABLE,Команда для создания новой таблицы в базе данных.
DROP TABLE,Команда для удаления таблицы из базы данных.
ALTER TABLE,"Команда для изменения структуры таблицы (например, добавление столбцов)."
TRUNCATE TABLE,Команда для удаления всех данных из таблицы без удаления самой таблицы.
BACKUP,Процесс создания резервной копии базы данных.
RESTORE,Процесс восстановления базы данных из резервной копии.
VIEW,"Представление — виртуальная таблица, создаваемая на основе запроса."
USER,Пользователь базы данных с определёнными правами доступа.
GRANT,SQL-команда для предоставления прав пользователю на выполнение операций в базе данных.
REVOKE,SQL-команда для отмены ранее предоставленных прав пользователю.
TRANSACTION,"Группа операций, выполняемых как единое целое с возможностью отката."
COMMIT,SQL-команда для подтверждения транзакции.
ROLLBACK,SQL-команда для отката транзакции.
ACID,"Свойства транзакции, которые гарантируют её корректность: атомарность, консистентность, изоляция и долговечность."
SQL,язык структурированных запросов. При помощи данного языка мы будем производить различные действия с нашими базами данных.
Данные ,структурированная информация.
База данных,"совокупность данных, определенных предметной областью. Проще говоря: набор таблиц"
Таблица (сущность) ,способ хранения информации в реляционной базе данных (минимальная единица измерения в базе данных). Таблицей упрощенно называют отношение в базе данных.
СУБД ,"система управления базами данных: программа, позволяющая производить различные действия с базами данных."
Бизнес-правила," формальные правила, которые учитываются при проектировании базы данных. Другими словами: это процесс или набор процессов, которые нам необходимо описать и автоматизировать при помощи базы данных."
Информационная система , база данных + СУБД и другое ПО + «железо». Некоторые расширяют данное понятие: Информационная система = база данных + СУБД и другое ПО + «железо»+ человек. Некоторые наоборот сужают: Информационная система = база данных + СУБД и другое ПО.
Предметная область ," часть реального мира, которая описывается или автоматизируется при создании базы данных. Например: склад, магазин, библиотека, автозаправка."
Клиент,"человек или программа, обращающийся(аяся) к базе данных."
Ключи или ключевой атрибут ,"атрибут (читай столбец) или набор атрибутов, который однозначно идентифицирует сущность/объект/таблицу в базе данных."
Первичный ключ," ключ, который используется для идентификации объекта."
Ключ-кандидат (альтернативный ключ)," ключ, по каким-либо причинам неиспользуемый как первичный."
Составной ключ ," ключ, который использует несколько атрибутов."
Суррогатный ключ ,"ключ, значение которого генерируется СУБД."
Нормальная форма ," свойство отношения в реляционной модели данных, характеризующее его с точки зрения избыточности, потенциально приводящей к логически ошибочным результатам выборки или изменения данных. Нормальная форма определяется как совокупность требований, которым должно удовлетворять отношение. Проще говоря: нормальная форма – это состояние базы данных. В природе вещество может быть в четырех состояниях: жидком, твердом, газообразном и в виде плазмы. И реляционных базах данных отношения могут быть в девяти состояниях."
Отношение, фундаментальное понятие реляционной модели данных. По этой причине модель и называется реляционной. Грубо говоря: отношение – это таблица.
Нормализация,"процесс преобразования отношений базы данных к виду, отвечающему нормальным формам. Нормализация предназначена для приведения структуры БД к виду, обеспечивающему минимальную логическую избыточность, и не имеет целью уменьшение или увеличение производительности работы или же уменьшение или увеличение физического объёма базы данных."
Денормализация,процесс обратный нормализации. Часто применяется для ускорения процесса чтения данных из базы данных.
Атомарность,"неделимость атрибутов. Например, ФИО не является атомарным столбцом."
Транзитивная зависимость,"логическая или смысловая зависимость одного атрибута от другого при условии, что ни один из атрибутов не является первичным ключом. Классический пример: город и индекс."
Функциональная зависимость,"зависимость значений одного столбца от другого, но никак не наоборот. Возьмем два столбца, назовем их А и Б. Все строки, имеющие одинаковое значение атрибута А, будут иметь одинаковое значение в столбце Б, но не наоборот."
Детерминант функциональной зависимости. , просто – это столбец А из определения термина функциональной зависимости.
Избыточность," лишняя информация в базе данных, которая не несет никакой пользы для нас, а лишь увеличивает объем базы данных."
Аномалия,"проблемы, которые возникают при манипуляции с данными (обновление данных, удаление данных, модификация или изменение данных), из-за избыточности."
Домен данных,"справочник или таблица, в которой хранится вспомогательная информация. Сам я не люблю использовать термин домен данных, поэтому использую справочник."
Первая нормальная форма (1NF),"Переменная отношения находится в первой нормальной форме (1НФ) тогда и только тогда, когда в любом допустимом значении отношения каждый его кортеж содержит только одно значение для каждого из атрибутов."
Вторая нормальная форма (2NF),"Переменная отношения находится во второй нормальной форме тогда и только тогда, когда она находится в первой нормальной форме и каждый неключевой атрибут неприводимо (функционально полно) зависит от её потенциального ключа."
Третья нормальная форма (3NF),"Переменная отношения находится в третьей нормальной форме тогда и только тогда, когда она находится во второй нормальной форме, и отсутствуют транзитивные функциональные зависимости неключевых атрибутов от ключевых."
Нормальная форма Бойса ,"Кодда (BCNF). Переменная отношения находится в нормальной форме Бойса — Кодда (иначе — в усиленной третьей нормальной форме) тогда и только тогда, когда каждая её нетривиальная и неприводимая слева функциональная зависимость имеет в качестве своего детерминанта некоторый потенциальный ключ."
Четвёртая нормальная форма (4NF),"Переменная отношения находится в четвёртой нормальной форме, если она находится в нормальной форме Бойса — Кодда и не содержит нетривиальных многозначных зависимостей."
Пятая нормальная форма (5NF),"Переменная отношения находится в пятой нормальной форме (иначе — в проекционно-соединительной нормальной форме) тогда и только тогда, когда каждая нетривиальная зависимость соединения в ней определяется потенциальным ключом (ключами) этого отношения."
